les Escaldes,AD,42.5073,1.5341,15853
Andorra la Vella,AD,42.5078,1.5211,20430
Warisan,AE,25.1674,55.4071,108759
Umm Suqaym,AE,25.1549,55.2101,16459
Umm Al Quwain City,AE,25.5647,55.5552,59098
Tarif Kalba,AE,25.0695,56.3312,51000
Ar Rashidiyah,AE,25.225,55.3895,38425
Ras Al Khaimah,AE,25.7895,55.9432,351943
Zayed City,AE,23.6542,53.7052,63482
Khawr Fakkan,AE,25.3313,56.342,40677
Kalba,AE,25.0513,56.3542,37545
Jumayra,AE,25.208,55.2497,39080
Dubai,AE,25.0772,55.3093,3790000
Dibba Al-Fujairah,AE,25.5925,56.2618,30000
Dibba Al-Hisn,AE,25.6196,56.2729,26395
Dayrah,AE,25.2714,55.3021,400000
Sharjah,AE,25.3342,55.4122,1800000
Ar Ruways,AE,24.1103,52.7306,25000
Hatta,AE,24.8007,56.1273,15324
Fujairah,AE,25.1164,56.3414,118933
Al Ain City,AE,24.1917,55.7606,846747
Ajman,AE,25.4018,55.4788,490035
Adh Dhayd,AE,25.2881,55.8816,20165
Abu Dhabi,AE,24.4512,54.397,1807000
Abu Hayl,AE,25.2841,55.3315,18043
As Satwah,AE,25.2219,55.2746,40997
Al Hamidiyah,AE,25.4,55.5292,27000
Al Waheda,AE,25.2917,55.3382,21608
Al Karama,AE,25.24,55.3011,75560
Al Wasl,AE,25.1988,55.2557,22153
The Palm Jumeirah,AE,25.1161,55.1351,25500
Bur Dubai,AE,25.2604,55.2989,18698
Khalifah A City,AE,24.4259,54.605,85374
Mirdif,AE,25.2244,55.4141,60288
Hawr al 'Anz,AE,25.2774,55.3368,84661
Mankhul,AE,25.2461,55.2922,41244
Nayf,AE,25.2714,55.3032,53075
Al Murar al Qadim,AE,25.2758,55.3074,19831
Al Warqaa,AE,25.1927,55.4201,59111
International City,AE,25.1638,55.4099,120000
Dubai Marina,AE,25.0852,55.1465,120000
Dubai Internet City,AE,25.0954,55.1617,24000
Al Safa,AE,25.1705,55.2334,15672
Ar Rumaylah,AE,25.4034,55.4334,86000
Al Jurf,AE,25.4181,55.5079,18000
Al Majaz,AE,25.3235,55.3877,116503
Dubai Festival City,AE,25.2218,55.3573,77000
Dubai International Financial Centre,AE,25.2106,55.2779,36000
Dubai Investments Park,AE,25.0083,55.1568,160000
Jebel Ali,AE,25.0025,55.1081,210000
Bani Yas City,AE,24.3098,54.6294,80498
Musaffah,AE,24.3589,54.4827,243341
Al Shamkhah City,AE,24.3927,54.7078,61710
Reef Al Fujairah City,AE,25.1448,56.2476,82310
Al Bada'a,AE,25.2246,55.2689,18816
Al Muteena,AE,25.2737,55.3227,48739
Al Mizhar First,AE,25.248,55.4413,17498
Dubai Silicon Oasis,AE,25.1198,55.3872,90000
Al Furjan,AE,25.0265,55.1457,26000
Business Bay,AE,25.1854,55.2697,191000
Al Qusais 1,AE,25.2793,55.37,48378
Halwan,AE,25.3459,55.4216,19389
Al Sajaah,AE,25.3153,55.6321,53079
Lahbab,AE,25.0376,55.5913,53079
Mohammed Bin Zayed City,AE,24.3479,54.5537,85000
Zaranj,AF,30.9596,61.8604,49851
Bazar-e Yakawlang,AF,34.7353,66.9738,65000
Taloqan,AF,36.736,69.5345,64256
Shindand,AF,33.3029,62.1474,29264
Shibirghan,AF,36.6676,65.7529,55641
Shahrak,AF,34.1074,64.3052,15967
Sar-e Pul,AF,36.2154,65.9325,52121
Sang-e Charak,AF,35.8497,66.4369,15377
Aibak,AF,36.2647,68.0155,47823
Rustaq,AF,37.126,69.8304,25636
Qarqin,AF,37.4185,66.0436,15018
Qarawul,AF,37.2196,68.7802,24544
Pul-e Khumri,AF,35.9446,68.7151,56369
Paghman,AF,34.5879,68.9509,49157
Nili,AF,33.7218,66.1302,30058
Nahrin,AF,36.0649,69.1334,22363
Maymana,AF,35.9214,64.7836,75900
